Title,Opponent,Score,Date,Location (City),Location (Stadium),Latitude,Longitude,Cost,Description,Source,Relation,Rights,Reference URL,CONTENTdm number,Image Link
"Football Program. Idaho - University of Arizona, 11/05/1960, Tucson (Arizona)",University of Arizona,3-32,11/5/1960,Tucson (Arizona),Arizona Stadium,32.228758,-110.948704,$0.25,"Official souvenir program of the Idaho - University of Arizona football game, Saturday, November 05, 1960,Tucson (Arizona). Cover depicts a picture of two football players and fans cheering on the team.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,21",21,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=21&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=021&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Arizona, 10/25/1958, Tucson (Arizona)",University of Arizona,24-16,10/25/1958,Tucson (Arizona),Arizona Stadium,32.228758,-110.948684,$0.25,"Official souvenir program of the Idaho - University of Arizona football game, Saturday, October 25, 1958, Tucson (Arizona). Senior and Band Day. Cover depicts a picture of a football player in a white uniform.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,37",37,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=37&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=137&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Arizona, 10/03/1959, Tucson (Arizona)",University of Arizona,14-16,10/3/1959,Tucson (Arizona),Arizona Stadium,32.228778,-110.948704,$0.25,"Official souvenir program of the Idaho - University of Arizona football game, Saturday, October 03, 1959, Tucson (Arizona). Cover depicts a picture of a football player and an area view of the football field.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,50",50,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=50&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=250&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Arizona, 11/03/1962, Arizona Stadium, Tucson (Arizona)",University of Arizona,14-12,11/3/1962,Tucson (Arizona),Arizona Stadium,32.228758,-110.948704,$0.50,"Official souvenir program of the Idaho - University of Arizona football game, Saturday, November 03, 1962, Arizona Stadium, Tucson (Arizona). High School Senior Day.  Cover depicts pictures of football players, marching band and cheerleaders.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,86",86,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=86&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=386&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Arizona, 11/07/1964, Arizona Stadium, Tucson (Arizona)",University of Arizona,7-14,11/7/1964,Tucson (Arizona),Arizona Stadium,32.228798,-110.948704,$0.50,"Official souvenir program of the Idaho - University of Arizona football game, Saturday, November 07, 1964, Arizona Stadium, Tucson (Arizona). Homecoming.  Cover depicts pictures of football players, picture of a play in action.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,97",97,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=97&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=497&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Arizona, 11/09/1963, Arizona Stadium, Tucson (Arizona)",University of Arizona,7-34,11/9/1963,Tucson (Arizona),Arizona Stadium,32.228758,-110.948724,$0.50,"Official souvenir program of the Idaho - University of Arizona football game, Saturday, November 09, 1963, Arizona Stadium, Tucson (Arizona). High School Senior Day.  Cover depicts pictures of football players, picture of a play in action.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,108",108,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=108&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=5108&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Oregon, 10/21/1967, Autzen Stadium, Eugene (Oregon)",University of Oregon,6-31,10/21/1967,Eugene (Oregon),Autzen Stadium,44.057722,-123.068333,$0.50,"Official souvenir program of the Idaho - University of Oregon football game, Saturday, October 14, 1950, Hayward Field, Eugene (Oregon). Cover depicts a picture of a building at the University of Oregon.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,43",43,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=43&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=643&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Brigham Young University, 11/20/1954, Brigham Young Stadium, Rexburg (Idaho)",Brigham Young University,49-6,11/20/1954,Boise (Idaho),Bronco Satdium,43.602778,-116.195833,$0.25,"Official souvenir program of the Idaho - Brigham Young University football game, Saturday, November 20, 1954, Boise (Idaho). Bronco Bowl.  Cover depicts pictures of football players, picture of a play in action.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,119",119,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=119&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=7119&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Arizona, 11/11/1961,  Boise (Idaho)",University of Arizona,7-43,11/11/1961,Boise (Idaho),Bronco Stadium,43.602778,-116.195813,$0.50,"Official souvenir program of the Idaho - University of Arizona football game, Saturday, November 11, 1961, Boise (Idaho). Cover depicts a picture of a three football players, the stadium and the marching band.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,30",30,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=30&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=830&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho -University of Montana, 11/18/1961, Bronco Stadium, Moscow (Idaho)",University of Montana,16-14,11/18/1961,Boise (Idaho),Bronco Stadium,43.602798,-116.195833,$0.25,"Official souvenir program of the Idaho - University of Montana football game, Saturday, November 18, 1961, Bronco Stadium, Moscow (Idaho). Cover depicts a picture of two football players jumping in the air and a small picture of football players attacking each other.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,32",32,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=32&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=932&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
